username,date,review_text,rating,source
redvelvet_rope,,"""Eh, ganun talaga. Hindi pa nga handa ang lipunang 'to sa mga espesyal na taong tulad ko. ""Rewatched Meme Vice's magnum opus to gear up for my socials night gimmick sa RnR. Oooohh i'm going to wear your pussies out!ALL THE WAY FROM 13TH PLATOON ALPHA PHI CHUPAPI, WELCOME HOME PAPSiiiiiiiiiiii",140.0,ltbx
kinneyyy,,ICONIC,140.0,ltbx
terminalc,,solid,200.0,ltbx
sinigangmuncher,,im that one rando na nakikisali sa friend group nila,,ltbx
jellybeanxz,,"“Omayghad! Alam mo namang takot ako sa dilim ‘nay e””Brownout?”“Hindi sunrise, malamang! nawalan nga ng kuryente e.”LARO SIYA BAKS😭",160.0,ltbx
marylsl,,mother of camp,200.0,ltbx
doodadae7788,,ABSOLUTE CINEMA,200.0,ltbx
teeksthestar,,"comfort movietatlong salita lamang para sa’yo, ang sarap mo richard (sana maputukan din)",200.0,ltbx
yeomsokizary,,her best movie,160.0,ltbx
jhenhong,,got a good laugh as expected,180.0,ltbx
willowlei,,GALINGGG TAINAH 😭😭😭😭,200.0,ltbx
rhiynza,,"if u hate this masterpiece, i hate U",160.0,ltbx
elyannaaa,,me na me pag nag-rotc,100.0,ltbx
diyesotso,,wlang kupas talaga direk wen... napapatawa mo pa din aqouh,200.0,ltbx
ahroncllyflmd,,training montage but make it bakla-core military satirenational security? walafamily trauma? madamilaughs? paulit-ulit pero effective naman,200.0,ltbx
zzzzz8,,My comfort movie ☹️☹️ they dont make movies like this anymore bruh 💔 Bet ko talaga yung mga inventions ng tatay ni benj 👍👍,160.0,ltbx
ilytlqg,,putangina talaga hwhahaha bat ko ba nirewatch 🫵🫵,80.0,ltbx
itslrnt,,i watched this dahil sa minwon au na binabasa ko HAHAHA although napanood ko na ‘to dati sobrang solid pa din,160.0,ltbx
faililbrig,,the poster alone should be in the louvre,,ltbx
praetoraldy,,"you're either a ""tanging ina"" gay or a ""praybeyt benjamin"" gay",200.0,ltbx
jhuliecakes,,"""we have mulan at home""the mulan at question:",,ltbx
ramborat,,now this is CAMP.,180.0,ltbx
frogiel,,Hi Kean Cipriano in glasses hiii,140.0,ltbx
mother_henn,,mga girlypop sa gyera be like,140.0,ltbx
qjwin,,loved this as a kid couldn't stop laughing,200.0,ltbx
waryares1,,yup,120.0,ltbx
jqna22z,,Absolute Cinema.,200.0,ltbx
moshihanju,,"I'LL REVIEW THIS REALTIMEuhm emerson is kinda...... >//< as a overpacker i agreee w vice HAHHA LOL the troop 13 lineup is nice ha.. parang senior scouts haugdhauha. ang oa ng pamilya niya pero atleast diba ano, they accept benji hehe. badingdingdingding. ang slow witted ni dominador what the hell. ang cute ni kean wtf. yung effects bwhwuahua. may 3rd eye ba sya or schizophrenia. I LOVE NERDS SO MUCH okay 3rd eye nga HUAHAHUAHU ang galing ng inventions ng tatay niya pero WHUHAUAHHU DEREK Bakit kamukha ni benj. Pero aliw,, may cameo si petrang kabayo hauhaua ang cute mo kean iloveyu",180.0,ltbx
ayamaastiglng,,for shits & giggles only,100.0,ltbx
pistachoblud,,pinoy mulan ate this up,200.0,ltbx
ra11nview,,"If a foreigner wants to understand Filipino humor, this movie (like most Deramas films) is the quintessential introduction to Philippine queer, camp, and pop cultures.",200.0,ltbx
matchagengar,,"iconiscism, please, release the soundtrack!",200.0,ltbx
baobeep,,“aching ching ching ching.”,200.0,ltbx
tofuerz,,the only thing that is good about this is the year it was released.,60.0,ltbx
mangostine,,"one just yearns for the good old days. i remembered watching this in the cinema with my mother and it’s one of the main reasons why i still remember the sound of her laughter. some films are just a timekeeper and it can’t be replaced. Wenn V. Deramas was one hell of a director, pairing with Vice Ganda.(watching this bc of showtime)",200.0,ltbx
kujawma,,Golden age of the vice ganda solid napanood ko ulet sa bus,200.0,ltbx
coco_manoloto,,kakanood ko lang ulet sa bus,120.0,ltbx
weezerjrt,,Nakakatawa siya lalo na yung mga outfit ni vice ganda HWHABHWHQHA,100.0,ltbx
blackpink,,this movie goat for the gays,200.0,ltbx
cloudsin_thesky,,filipino movies are so homoerotic actually,140.0,ltbx
rosiegal,,"Silly watch with a silly lad. Mulan masikip military training, cute family (except them homophobes), and Carlos Agassi jump scare!",40.0,ltbx
moopoint,,mulan but make it filipino & gay,140.0,ltbx
pabloeskolar,,welcome home papsie!!!!!,200.0,ltbx
p4t4kngul4n,,IDGAFFFFFFFFF nay tay nay tay nay nay tay welcome home popsiee 😊😊BAKLAA 👊🏻😠 brainrot filmGWAPOO NI KEAN DITO WATAFREAKKK,200.0,ltbx
sweetlaosanchez,,decent story,160.0,ltbx
tinapaynitina,,purfecf,200.0,ltbx
elijcw,,heh nag-rewatch lang ako. maganda pa rin siya 10/10,200.0,ltbx
monty_malum,,Direk Wenn's movies never fail to make me laugh,140.0,ltbx
vida888,,nagpapatawa ka ba?oo comedy to eh!,120.0,ltbx
edxchh,,If sa ROTC man ako mapupunta sa NSTP pagka college ko atleast na brief ako ni Benjie.,160.0,ltbx
gowenie,,Vice Ganda’s best movie alongside GBBT,160.0,ltbx
