review_id,sentence_num,username,date,rating,source,sentence
120,8,esoterina,2025-07-20 00:00:00.000,100.0,ltbx,"at one point in the movie we'd been in a training montage for fucking ever and i had to ask ""when are they gonna fight the terrorists"" and i realized we only had 30 minutes left"
120,9,esoterina,2025-07-20 00:00:00.000,100.0,ltbx,worth it though
120,10,esoterina,2025-07-20 00:00:00.000,100.0,ltbx,i do really adore how profusely benjie's family loves and accepts him
120,11,esoterina,2025-07-20 00:00:00.000,100.0,ltbx,it's earnestly sweet tbh
120,13,esoterina,2025-07-20 00:00:00.000,100.0,ltbx,jon watters vice ganda and gregg araki dream blunt rotation but not really
121,1,akoaris,2025-07-17 00:00:00.000,20.0,ltbx,My bf forced me to watch it
122,1,miksnmatch,2025-07-17 00:00:00.000,,ltbx,di natapos
123,1,extraterastrial,2025-07-16 00:00:00.000,100.0,ltbx,WELCOME HOME PAPSI
124,1,he_l0w,2025-07-16 00:00:00.000,100.0,ltbx,“syempre pang-kabayo toh”
125,1,lucillelured,2025-07-16 00:00:00.000,100.0,ltbx,mulan pero bading at nandiyan si derek ramsay
126,1,rafareviews2131,2012-07-16 00:00:00.000,100.0,ltbx,Laro laro lang
127,1,notaspider,2025-07-15 11:07:15.750,100.0,ltbx,A movie night classic with my Filipino fam
127,2,notaspider,2025-07-15 11:07:15.750,100.0,ltbx,It’s absurdly camp and entertaining enough to keep me watching
128,1,angzelo,2024-03-03 00:00:00.000,100.0,ltbx,"""paano niyo nakita"
128,2,angzelo,2024-03-03 00:00:00.000,100.0,ltbx,"""""pumikit kami"""
129,1,zowiemoma,2025-07-13 00:00:00.000,100.0,ltbx,sino nagimbento neto punyetang mga sound effects kala mo lasing ako
130,1,errainegoaway,2025-07-13 00:00:00.000,,ltbx,edi i-log
131,1,_mayari,2025-07-10 00:00:00.000,100.0,ltbx,2 days late na review xd pero tuwing naalala ko yung “bakla ka no” “wititit” tawang tawa ko punyemas  ambabaw lng also shet nikki valdez
132,1,_carlllll_,2025-07-11 00:00:00.000,100.0,ltbx,bading lang pala ang kailangan para matalo ang tsina
133,1,destj_13,2011-10-26 00:00:00.000,100.0,ltbx,i remember seeing this in the cinema
133,2,destj_13,2011-10-26 00:00:00.000,100.0,ltbx,napakaingay kasi lahat tawa ng tawa
133,3,destj_13,2011-10-26 00:00:00.000,100.0,ltbx,one of direk wenn and vice's best
134,1,maveytots,2025-07-11 00:00:00.000,60.0,ltbx,We have to admit — at the time this film was groundbreaking
134,2,maveytots,2025-07-11 00:00:00.000,60.0,ltbx,Vice Ganda was paving the way for more LGBTQIA+ Films with an actual LGBTQIA+ representation in Philippine Cinema
134,3,maveytots,2025-07-11 00:00:00.000,60.0,ltbx,"This film, which now many may not always appreciate, is still a feel-good movie for many Filipinos"
134,4,maveytots,2025-07-11 00:00:00.000,60.0,ltbx,"Regardless of the shallow comedy, its magic in connecting with trends at its time, as well as heralding the Pinoy humor, makes this a staple film in every Filipino household"
135,1,everybobi,2025-07-09 00:00:00.000,100.0,ltbx,i love it when an ensemble cast has their own agendas like thats my band of misfits coming together to serve (in the military)
135,2,everybobi,2025-07-09 00:00:00.000,100.0,ltbx,"i dont really get why people say this is a bad film when it really is a family friendly comedy film about outsiders wanting to people to be proud of them, and at the end of the day, that is just every filipino"
